"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"ASHOK KUP.G..R GUPTA","47","M","UR","89","W","A","NULL","NULL","NULL","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"ANILMIKA PANKAJ YADAV","33	","F","UR","89","Y","A","NULL","6225","Y","M ","P.G.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"KAMLESH.S.INGH","37","F","UR","89","Y","P","8","78","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"smt. samPat yadav","23","F","OBC","89","Y","P","31","128","Y","M ","I.L","NIL","","","","","","","","","","","","","","","","","","","","",""
"HIP.G..NSHU","27	","M","OBC","89","D","P","3","NULL","NULL","M ","S ","UNEMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"P.G..MTA LALCHAND","39","F","UR","89","Y","P","3","26","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Meera Gi Sen","56","F","OBC","89","Y","P","9","144","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"israr khan","44","M","UR","89","W","A","NULL","NULL","NULL","M ","P","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"vishambhar","37","M","OBC","5","Y","P","10","91","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAJKUP.G..RI","28","F","OBC","1","Y","P","14","315","Y","M ","L","FARMER","","","","","","","","","","","","","","","","","","","","",""
"devendra singh","33","M","SC","1","Y","P","13","175","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"SAKUNTALA GI","25","F","SC","2","Y","P","5","163","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHARAD RAMMU NEP.G..","25","M","OBC","5","Y","P","6","142","Y","U","P.G.","NIL","","","","","","","","","","","","","","","","","","","","",""
"GANESH","38","M","SC","89","W","P","13","NULL","NULL","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"PRADEEP KUP.G..R TRIPATHI ","49","M","UR","5","Y","P","3","171","Y","M ","G","FARMER","","","","","","","","","","","","","","","","","","","","",""
"NEELAM CHOUBE ","36","F","UR","2","Y","P","5","300","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"aneeta ","28","F","OBC","2","Y","P","10","461","Y","M ","I.L.","NIL","","","","","","","","","","","","","","","","","","","","",""
"NILVAL KISHOR","44","M","OBC","5","D","P","7","NULL","NULL","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Glkishore","34","M","OBC","5","Y","P","6","98","Y","M ","S ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SoNIL Gi","58","F","SC","5","Y","P","1","109","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PAWAN","32","M","UR","89","Y","P","9","170","Y","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Durga Gnskar","33","M","SC","1","Y","A","NULL","558","Y","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Rani GuPta ","42","F","UR","2","Y","P","11","193","Y","M ","S ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..hesh KuP.G..r GuPta","32","M","UR","2","Y","P","9","409","Y","M ","P.G..","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SHEIKH.S.ARFUDDIN ","42","M","UR","89","Y","P","8","57","Y","M ","P.G..","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"BHANU KUP.G..R JAIN ","39","M","UR","2","W","A","NULL","NULL","NULL","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"DEEPAK SHARP.G..","32","M","UR","28","Y","P","9","120","Y","U","S ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"Ramsevak dandotiya","61","M","UR","5","Y","P","21","1371","Y","M ","H.S. ","FARMER","","","","","","","","","","","","","","","","","","","","",""
