"cand_NILme","age","gender","cat","Party_cd","nomi_status","candi_des","Ward_no","votes","FiNIL_lock","mStatus","Education","OccuPation","","","","","","","","","","","","","","","","","","","","",""
"raP.G..hadur","45","M","OBC","2","Y","P","12","240","Y","M ","S","FARMER","","","","","","","","","","","","","","","","","","","","",""
"SATISH","40","M","OBC","89","Y","P","10","21","Y","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SUNEETA BRAJESH AHIRWAR ","23","F","SC","5","Y","P","2","293","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Kavita","41","F","OBC","5","W","A","NULL","NULL","NULL","M ","P.G..","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..hendra kuP.G..r","34","M","SC","5","Y","P","2","194","Y","M ","H.S.","BUSINESS ","","","","","","","","","","","","","","","","","","","","",""
"ANURADHA GIRAGI","35","F","OBC","5","W","P","17","NULL","NULL","M ","H.S. ","NIL","","","","","","","","","","","","","","","","","","","","",""
"yogendra singh","36","M","OBC","89","Y","P","3","774","Y","M ","G","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Shashi SharP.G..","40","F","UR","5","Y","P","7","80","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Priyanka sahu","31","F","OBC","89","Y","A","NULL","1278","Y","U","P.G..","UNEMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"BHARAT RAGHUVANSHI","33","M","UR","5","W","P","18","NULL","NULL","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"Dharmendra singh ","33","M","UR","89","Y","P","2","695","Y","M ","H.S. ","FARMER","","","","","","","","","","","","","","","","","","","","",""
"Lalit TriPathi ","38","M","UR","89","Y","P","24","130","Y","M ","G  ","BUSINESS ","","","","","","","","","","","","","","","","","","","","",""
"PREMLATA SHARP.G..","35","F","UR","89","Y","P","6","64","Y","M ","P.G..","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"Guddi Gi","40","F","SC","89","Y","P","14","37","Y","M ","ILL","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Pooja","28","F","OBC","5","W","P","28","NULL","NULL","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"seeP.G..","31","F","OBC","89","Y","P","16","71","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RAP.G..","29","F","OBC","89","Y","P","30","7","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"JASRAM GUPTA","61","M","UR","89","Y","P","7","342","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"smt.Kashi ","21","F","OBC","89","W","P","65","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"JAAN MOHOMP.G..D P.G..NSURI","47","M","OBC","2","W","P","12","NULL","NULL","M ","S","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"PREETI ANURAG GAUTAM","36","F","UR","89","Y","P","12","25","Y","M ","P.G.. ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"ReeNIL ","28","F","UR","89","Y","A","NULL","2301","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"NILJP.G..BEGAM","40","F","OBC","6","Y","P","3","109","Y","M ","G","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"UP.G..NILTH CHOUDHARY","44","M","SC","5","W","P","19","NULL","NULL","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"DEEPAK KUP.G..R","40","M","OBC","28","Y","P","14","372","Y","M ","LLB","FARMER","","","","","","","","","","","","","","","","","","","","",""
"KIRAN","36","F","UR","90","D","P","5","NULL","NULL","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"KALA AMODE","55","F","SC","5","Y","P","33","730","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"UPendra Singh Pawar","46","M","ST","89","Y","P","18","750","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"Jagdeesh Prasad Bilthare","43","M","UR","89","W","P","6","NULL","NULL","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RAJKUP.G..RI","57","F","OBC","89","Y","P","7","104","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"BHORI GI","43","F","OBC","2","Y","P","14","346","Y","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"JALEEL AHP.G..D S/O SHOKAT","46","M","OBC","89","Y","P","12","184","Y","M ","NIL","FARMER","","","","","","","","","","","","","","","","","","","","",""
"NITOO","33","F","UR","5","Y","P","15","54","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Smt URMILA P.G..yachand Khodriya","39","F","OBC","5","Y","P","1","635","Y","M ","G","NIL","","","","","","","","","","","","","","","","","","","","",""
"PREETI","39","F","UR","5","Y","P","9","563","Y","M ","P.G..","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHARDA DEVI","41","F","UR","89","W","A","NULL","NULL","NULL","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"brijendra singh","29","M","UR","5","Y","P","1","9","Y","M ","S","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"Zulekha Vee","45","F","UR","89","W","P","3","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"KAMLA SHENDE","55","F","SC","5","W","P","9","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"INDRA-BHARAT SOLANKI","24","F","SC","2","Y","P","2","205","Y","M ","S","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"MohaP.G..d Abrar","41","M","OBC","5","W","P","11","NULL","NULL","M ","G.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Ayyub Kha","44","M","UR","89","W","A","NULL","NULL","NULL","M ","G","RePorter","","","","","","","","","","","","","","","","","","","","",""
"RADHESHYAM KHATIK","35","M","SC","2","Y","P","13","105","Y","M ","H.S.","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"Shanu asgar ali","32","F","UR","5","Y","P","4","406","Y","M ","P","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"NORANG GI ","52","F","OBC","89","Y","P","15","187","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"NORANG GI ","52","F","OBC","89","D","P","15","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DiliP goswami ","30","M","OBC","89","Y","P","5","99","Y","M ","L ","BUSINESS ","","","","","","","","","","","","","","","","","","","","",""
"SEETA NILNDKISHOR BHARATI","33","F","SC","5","Y","P","15","616","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Ram kuP.G..r","38","M","OBC","2","Y","P","2","179","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SUNIL SINGH","37","M","OBC","2","D","P","11","NULL","NULL","M ","H.S.","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"RAJARAM ","42","M","UR","89","Y","P","14","238","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"Gbulal","44","M","UR","5","Y","A","NULL","2472","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"VIKAS ","34","M","UR","5","Y","P","9","2935","Y","M ","G ","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"SAVITREE SINGH","47","F","OBC","89","D","P","34","NULL","NULL","M ","P.G..","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Chandan Singh","34","M","OBC","2","Y","P","4","252","Y","M ","H.S. ","UNEMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"NILROTTAM DHAKAD","34","M","OBC","4","Y","P","14","40","Y","M ","S","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SHYAM SINGH ","45","M","OBC","2","W","P","2","NULL","NULL","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"P.G..ta Prasad","48","M","SC","5","Y","P","27","417","Y","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"Devisingh ","51","M","SC","2","Y","P","14","145","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RaP.G..kant Tiwari","44","M","UR","89","Y","P","9","51","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Santoshi ","34","F","OBC","2","W","A","NULL","NULL","NULL","M ","P.G..","NIL","","","","","","","","","","","","","","","","","","","","",""
"PANKAJ","32","M","SC","89","Y","P","2","89","Y","M ","G","ADVOCATE","","","","","","","","","","","","","","","","","","","","",""
"NILRENDRA KUP.G..R SHARP.G..(RINKU P.G..HARAJ)","29","M","UR","89","Y","P","9","23","Y","U","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"SEEP.G..PRAJAPATI","24","F","OBC","5","W","P","11","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..HESH KUP.G..R KHATIK","42","M","SC","89","Y","P","13","48","Y","M ","L ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"RachaNIL","34","F","UR","5","Y","P","1","332","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"RASIK LAL","70","M","UR","89","Y","A","NULL","427","Y","M ","P.G..","PENSION","","","","","","","","","","","","","","","","","","","","",""
"ZAFAR","63","M","UR","89","Y","P","9","16","Y","M ","G","PENSION","","","","","","","","","","","","","","","","","","","","",""
"RAMBHAROSE JATAV ","54","M","SC","2","Y","P","15","321","Y","M ","P","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"SAWAN GTHAV","34","M","OBC","89","Y","P","14","7","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Geeta Devi aary","44","F","SC","5","Y","P","8","440","Y","M ","P ","NIL","","","","","","","","","","","","","","","","","","","","",""
"PREM S/O GOWARDHAN","45","M","SC","89","Y","P","4","35","Y","M ","NIL","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"Shailu RaNIL ","27","F","OBC","89","Y","P","25","729","Y","M ","H.S. ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"P.G..HESH PAWAR","48","M","OBC","89","W","P","34","NULL","NULL","U","LLB","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..HENDRA KUP.G..R CHEEPA","38","M","OBC","89","Y","P","24","65","Y","U","P.G.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"JAGDESH ","60","M","OBC","89","Y","P","11","2314","Y","M ","S","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"ViP.G..la ","45","F","UR","5","Y","P","6","166","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ritu dubey ","32","F","UR","5","Y","P","7","227","Y","M ","P.G.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GAYTRI BHAGWANDAS","35","F","UR","2","Y","P","13","254","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"vivek raghuvanshi","30","M","UR","2","W","P","6","NULL","NULL","U","P.G.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"PRADEEP SINGH RAJPOOT","42","M","UR","2","D","P","15","NULL","NULL","M ","G","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"KAILASH P.G..LI","44","M","OBC","2","W","P","28","NULL","NULL","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"Ram Dayal Yadav","55","M","OBC","5","W","P","6","NULL","NULL","M ","H.S.","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAVI SHANKAR GuPta Urf Chathilal ","49","M","UR","89","Y","P","4","55","Y","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"AFSARI BEE","44","F","UR","5","W","P","12","NULL","NULL","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"P.G..lti Chaurasia","44","F","OBC","89","Y","P","6","20","Y","M ","H.S.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SEEMESHWARY","38","F","UR","5","W","P","12","NULL","NULL","M ","G. ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Adiram","51","M","SC","4","Y","P","15","81","Y","M ","P","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHAHNILAJ BEGAM","36","F","OBC","89","D","P","11","NULL","NULL","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SARIKA GNO","27","F","UR","89","W","A","NULL","NULL","NULL","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SABU KHA","38","M","OBC","5","Y","P","11","287","Y","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SHRIKRISHAN","38","M","OBC","5","Y","P","14","245","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SATISH.S.EN","37","M","OBC","89","Y","P","6","113","Y","M ","G.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"RAJ KUP.G..RI","28","F","SC","89","Y","P","16","24","Y","M ","L ","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"RAP.G..YANI GULAB SINGH GURJAR","55","F","OBC","5","Y","P","4","254","Y","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"GBITA MOHAN SINGH","27","F","SC","5","Y","P","14","196","Y","M ","S","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"AP.G..R WATI ","39","F","OBC","89","Y","P","11","20","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"AP.G..rti Gi","31","F","ST","89","Y","P","9","179","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SATISH KUP.G..R RATHOR ","25","M","OBC","89","Y","P","4","140","Y","U","S ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"PradeeP P.G..jhi ","32","M","OBC","89","Y","A","NULL","751","Y","M ","P.G.","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"GDRILALA SETHIYA","52","M","UR","2","W","P","9","NULL","NULL","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"SANNO GI","34","F","UR","89","R","P","9","NULL","NULL","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..noj KuP.G..r","29","M","UR","5","Y","P","15","1243","Y","M ","G ","NIL","","","","","","","","","","","","","","","","","","","","",""
"JYOTI DHAKAD","34","F","OBC","5","Y","P","7","927","Y","M ","LLB","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"P.G..hendra TriPathi","41","M","UR","2","D","P","39","NULL","NULL","M ","H.S.","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"RAJKUP.G..R YADAV","46","M","OBC","89","Y","A","NULL","1923","Y","M ","P.G.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"UP.G..","51","F","UR","89","Y","P","20","841","Y","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PRASHANN SISHUPAL SINGH","26","F","OBC","5","Y","P","1","1185","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"MohamP.G..d Husain Mistri","42","M","UR","89","W","A","NULL","NULL","NULL","M ","P","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"MohanLal","38","M","OBC","5","W","P","1","NULL","NULL","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"ramyas","42","M","SC","89","D","P","3","NULL","NULL","M ","P","UNEMPLOYED","","","","","","","","","","","","","","","","","","","","",""
"athya kamla devi w/o Chabbu lal athya","53","F","SC","89","Y","A","NULL","175","Y","M ","higher secondry ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"KIRAN KUSHWAH ","38","F","OBC","2","Y","P","2","303","Y","M ","L ","LABOURING ","","","","","","","","","","","","","","","","","","","","",""
"P.G..ngal Singh Kushwah","37","M","OBC","2","Y","P","6","357","Y","M ","H.S. ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"ASLAP.G..NWAR SHAIKH","38","M","UR","89","Y","P","26","415","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SHRIP.G..TI VIMLESH TIWARI","34","F","UR","5","Y","P","2","184","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Yashwant ","23","M","UR","5","W","P","17","NULL","NULL","U","P.G..","NIL","","","","","","","","","","","","","","","","","","","","",""
"GDAM SINGH","41","M","SC","2","Y","P","3","92","Y","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"GOPAL SHARP.G..","44","M","UR","89","Y","P","10","870","Y","M ","L ","CABLE OPERATOR ","","","","","","","","","","","","","","","","","","","","",""
"SMT. DILPREET KOUR ","26","F","UR","2","W","A","NULL","NULL","NULL","M ","B.COM","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"MITHLESH.S.AVITA","57","F","OBC","1","Y","P","1","162","Y","M ","8","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHRIP.G..TI KUSUM DEVI SONDHIYA","26","F","OBC","89","Y","P","26","269","Y","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Teju Khan","42","M","OBC","5","W","P","5","NULL","NULL","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SAROJ ","44","F","UR","89","W","A","NULL","NULL","NULL","M ","CLASS 8 ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"DR.VIR SINGH KUSHWAH","67","M","UR","89","Y","P","19","177","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SUNITA- SUNIL SHARP.G..","40","F","UR","2","Y","P","5","304","Y","M ","MIDDILE","h.HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Saroj Rani Jain","42","F","UR","5","Y","P","7","210","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SANNO","43","F","UR","5","Y","P","2","43","Y","M ","EDUCATE","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Vihari Adiwasi","58","M","ST","89","Y","P","10","45","Y","M ","ILL","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"ANITA","37","F","UR","5","Y","P","10","40","Y","M ","METRIC","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Ishwar dayal Patel ","36","M","OBC","89","Y","P","14","21","Y","M ","FARMER","H.S.","","","","","","","","","","","","","","","","","","","","",""
"PUSHPENDRA","31","M","OBC","5","Y","P","13","85","Y","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Pramod urP.G..liya (GGlu)","40","M","UR","2","Y","P","14","228","Y","M ","P.G.,G.","BUSINESS ","","","","","","","","","","","","","","","","","","","","",""
"PURUSHOTTAM","53","M","SC","5","Y","P","7","181","Y","M ","P","PENSION","","","","","","","","","","","","","","","","","","","","",""
"LAXP.G..N INGALE (LCHCHHU)","37","M","OBC","2","Y","P","30","1452","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAJKUP.G..RI ","35","F","OBC","89","Y","P","14","77","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAMVATI","59","F","OBC","89","Y","P","30","212","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"RAJKUP.G..RI SINGH","59","F","UR","89","Y","P","8","128","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"BRIJESH KUP.G..R SHUKL(BETU)","37","M","UR","89","Y","A","NULL","434","Y","M ","G","CULTIVATION ","","","","","","","","","","","","","","","","","","","","",""
"NILnd Kisore SharP.G..","43","M","UR","5","Y","P","7","241","Y","M ","G","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Keshari Chand Bindal","52","M","UR","2","Y","P","4","315","Y","M ","H.S.","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"shriPal duggad","51","M","UR","2","W","P","9","NULL","NULL","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"smt. Laxmi P.G..hor","28","F","SC","89","Y","P","61","34","Y","M ","H.S. class ","NIL","","","","","","","","","","","","","","","","","","","","",""
"JYOT GI","45","F","UR","89","Y","A","NULL","1503","Y","U","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"SURESH.S.HIVHRE","36","M","OBC","6","Y","P","2","89","Y","M ","HEIGH.S.CHOOL ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"ram dhiraj kushwaha","39","M","OBC","5","Y","P","9","1387","Y","M ","S","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"Dr.GAJENDRA SINGH","34","M","SC","89","Y","P","13","13","Y","M ","P.G..HISTORY ","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"BHARTI BHADOURIYA ","32","F","UR","89","Y","P","2","709","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"PARVATI","43","F","SC","2","Y","A","NULL","5826","Y","M ","P","BIDI P.G..JDOOR","","","","","","","","","","","","","","","","","","","","",""
"SHRIP.G..TI VINITA ANIL PRAJAPATI","24","F","OBC","89","Y","P","11","303","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"BHAGWATI","37","F","SC","2","Y","P","16","478","Y","M ","FIFTH","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"P.G..lti Mittal","45","F","UR","5","Y","P","14","824","Y","M ","P.G..","NIL","","","","","","","","","","","","","","","","","","","","",""
"SMT. SAROJ (D.C. JAIN)","59","F","UR","5","Y","P","3","540","Y","M ","NIL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHAHNILJ BEGAM w/o YASEEN KHAN","36","F","UR","89","Y","P","17","332","Y","M ","P ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Raghvendra","43","M","OBC","5","W","P","1","NULL","NULL","M ","G.","FARMER","","","","","","","","","","","","","","","","","","","","",""
"REKHA  BRAJESH HAZARI","55","F","UR","5","R","A","NULL","NULL","NULL","M ","P.G.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"uP.G..devi NILmdev","28","F","UR","89","Y","P","12","26","Y","M ","literacy","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"ANJU","45","F","UR","5","Y","P","15","658","Y","M ","P.G. POLITICAL SCIENCE  ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHRI P.G..TI CHANDA GI CHOUPADA","45","F","UR","5","W","A","NULL","NULL","NULL","M ","HIGHSCHOOL","TAXI PARICHALAN","","","","","","","","","","","","","","","","","","","","",""
"FARID KHAN "" CHOTU""","26","M","UR","5","Y","P","6","255","Y","M ","P","FARMER","","","","","","","","","","","","","","","","","","","","",""
"dinesh mehra","43","M","SC","89","Y","P","12","195","Y","M ","P","stone suPPlier BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"SHAHNILAJ BEGAM","36","F","OBC","89","Y","P","11","223","Y","M ","L ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"idda begam","48","F","UR","89","Y","P","12","25","Y","M ","L ","LABOUR ","","","","","","","","","","","","","","","","","","","","",""
"SUNITA GUPTA","35","F","UR","89","Y","P","2","212","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"DHARAM CHANDRA","43	","M","UR","89","Y","P","6","35","Y","M ","H.S.","BUISNILSS","","","","","","","","","","","","","","","","","","","","",""
"SRIP.G..TI SAROJ ASHOK KUP.G..R MISHRA","52","F","UR","5","Y","P","13","253","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"Smt. RanjaNIL Rajesh Jain ArPun","38","F","UR","5","Y","P","3","561","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"DILIP","43","M","SC","5","W","P","10","NULL","NULL","M ","P","BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"sunita ","41","F","SC","2","Y","P","18","352","Y","M ","2nd ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"Rinki ","27","F","OBC","89","Y","P","5","421","Y","M ","S ","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SRIP.G..TI ABHILASHA PUSHPRAJ BILGAIYA","36","F","UR","5","Y","P","6","913","Y","M ","G","NIL","","","","","","","","","","","","","","","","","","","","",""
"SAHAG SINGH YADAV","32","M","OBC","2","Y","P","26","732","Y","M ","class 9","NIL","","","","","","","","","","","","","","","","","","","","",""
"AHMED PATEL","46","M","OBC","5","Y","P","12","872","Y","M ","P","KHRISHI","","","","","","","","","","","","","","","","","","","","",""
"ASLAM GLLAM","43","M","UR","89","Y","P","27","5","Y","M ","NIL","NIL","","","","","","","","","","","","","","","","","","","","",""
"CHANDRA SHEKHAR","32","M","OBC","5","Y","P","14","265","Y","M ","P","PATRAKARITA","","","","","","","","","","","","","","","","","","","","",""
"kalindi","40","F","OBC","89","Y","P","8","112","Y","M ","L","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"kaP.G..l","34","M","OBC","89","Y","P","15","348","Y","U","9 th","FARMER","","","","","","","","","","","","","","","","","","","","",""
"P.G..DAN KUP.G..R","40","M","SC","1","Y","P","19","359","Y","M ","10","FARMER","","","","","","","","","","","","","","","","","","","","",""
"PALLAVI BIHARI","22","F","SC","89","Y","P","11","270","Y","M ","12","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"ram Ghadur ahirwar","28","M","SC","89","Y","P","16","37","Y","M ","10"," P.G..son","","","","","","","","","","","","","","","","","","","","",""
"RAMNILRESH YADAV","48","M","OBC","89","Y","A","NULL","41","Y","M ","8","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"GEETA GI","37","F","OBC","2","Y","P","5","867","Y","M ","ILL","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"KRISHNIL GOPAL NILGAR","31","M","OBC","89","Y","P","3","142","Y","M ","HEIGH.S.EKENDRI SCHOOL ","SERVICE","","","","","","","","","","","","","","","","","","","","",""
"P.G..nMohan Dixit","48","M","UR","5","Y","P","3","408","Y","M ","G","Advocate","","","","","","","","","","","","","","","","","","","","",""
"JAY KUNWAR","67","F","UR","89","Y","P","14","158","Y","M ","H.S.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SNILHI GI","61","F","UR","89","Y","P","8","309","Y","M ","L HAI","FARMER ","","","","","","","","","","","","","","","","","","","","",""
"rachNIL ","50","F","UR","2","W","P","8","NULL","NULL","U","higher secondry","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"lakshP.G..n Prasad ","50","M","SC","2","D","P","8","NULL","NULL","M ","P","LABOUR","","","","","","","","","","","","","","","","","","","","",""
"Aarti Chaurasiya","30","F","OBC","89","Y","P","1","414","Y","M ","G.","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"KILOLA","48","M","OBC","2","Y","P","9","134","Y","M ","2ND CLASS","FARMER","","","","","","","","","","","","","","","","","","","","",""
"SURESH UIKEY","38","M","ST","2","Y","P","10","464","Y","M ","P","FARMER LABOUR","","","","","","","","","","","","","","","","","","","","",""
"SHAMBHU PRASAD","45","M","OBC","2","Y","A","NULL","2312","Y","M ","S","NIL","","","","","","","","","","","","","","","","","","","","",""
"GEETA DEVI","25","F","SC","2","D","P","5","NULL","NULL","M ","P","HOUSEWIFE","","","","","","","","","","","","","","","","","","","","",""
"SHAGNIL KHAN","22","F","OBC","5","Y","P","10","591","Y","M ","H.S.","HOUSEWIFEAND SOCIAL LABOUR","","","","","","","","","","","","","","","","","","","","",""
